FullDate,DateKey,Day,Month,MonthName,Quarter,Year,DayOfWeek
2023-07-22 00:00:00,20230722,22,7,July,3,2023,Saturday
2023-07-23 00:00:00,20230723,23,7,July,3,2023,Sunday
2023-07-24 00:00:00,20230724,24,7,July,3,2023,Monday
2023-07-25 00:00:00,20230725,25,7,July,3,2023,Tuesday
2023-07-26 00:00:00,20230726,26,7,July,3,2023,Wednesday
2023-07-27 00:00:00,20230727,27,7,July,3,2023,Thursday
2023-07-28 00:00:00,20230728,28,7,July,3,2023,Friday
2023-07-29 00:00:00,20230729,29,7,July,3,2023,Saturday
2023-07-30 00:00:00,20230730,30,7,July,3,2023,Sunday
2023-07-31 00:00:00,20230731,31,7,July,3,2023,Monday
2023-08-01 00:00:00,20230801,1,8,August,3,2023,Tuesday
2023-08-02 00:00:00,20230802,2,8,August,3,2023,Wednesday
2023-08-03 00:00:00,20230803,3,8,August,3,2023,Thursday
2023-08-04 00:00:00,20230804,4,8,August,3,2023,Friday
2023-08-05 00:00:00,20230805,5,8,August,3,2023,Saturday
2023-08-06 00:00:00,20230806,6,8,August,3,2023,Sunday
2023-08-07 00:00:00,20230807,7,8,August,3,2023,Monday
2023-08-08 00:00:00,20230808,8,8,August,3,2023,Tuesday
2023-08-09 00:00:00,20230809,9,8,August,3,2023,Wednesday
2023-08-10 00:00:00,20230810,10,8,August,3,2023,Thursday
2023-08-11 00:00:00,20230811,11,8,August,3,2023,Friday
2023-08-12 00:00:00,20230812,12,8,August,3,2023,Saturday
2023-08-13 00:00:00,20230813,13,8,August,3,2023,Sunday
2023-08-14 00:00:00,20230814,14,8,August,3,2023,Monday
2023-08-15 00:00:00,20230815,15,8,August,3,2023,Tuesday
2023-08-16 00:00:00,20230816,16,8,August,3,2023,Wednesday
2023-08-17 00:00:00,20230817,17,8,August,3,2023,Thursday
2023-08-18 00:00:00,20230818,18,8,August,3,2023,Friday
2023-08-19 00:00:00,20230819,19,8,August,3,2023,Saturday
2023-08-21 00:00:00,20230821,21,8,August,3,2023,Monday
2023-08-22 00:00:00,20230822,22,8,August,3,2023,Tuesday
2023-08-23 00:00:00,20230823,23,8,August,3,2023,Wednesday
2023-08-24 00:00:00,20230824,24,8,August,3,2023,Thursday
2023-08-25 00:00:00,20230825,25,8,August,3,2023,Friday
2023-08-26 00:00:00,20230826,26,8,August,3,2023,Saturday
2023-08-27 00:00:00,20230827,27,8,August,3,2023,Sunday
2023-08-28 00:00:00,20230828,28,8,August,3,2023,Monday
2023-08-29 00:00:00,20230829,29,8,August,3,2023,Tuesday
2023-08-30 00:00:00,20230830,30,8,August,3,2023,Wednesday
2023-08-31 00:00:00,20230831,31,8,August,3,2023,Thursday
2023-09-01 00:00:00,20230901,1,9,September,3,2023,Friday
2023-09-02 00:00:00,20230902,2,9,September,3,2023,Saturday
2023-09-03 00:00:00,20230903,3,9,September,3,2023,Sunday
2023-09-04 00:00:00,20230904,4,9,September,3,2023,Monday
2023-09-05 00:00:00,20230905,5,9,September,3,2023,Tuesday
2023-09-06 00:00:00,20230906,6,9,September,3,2023,Wednesday
2023-09-07 00:00:00,20230907,7,9,September,3,2023,Thursday
2023-09-08 00:00:00,20230908,8,9,September,3,2023,Friday
2023-09-09 00:00:00,20230909,9,9,September,3,2023,Saturday
2023-09-10 00:00:00,20230910,10,9,September,3,2023,Sunday
2023-09-11 00:00:00,20230911,11,9,September,3,2023,Monday
2023-09-12 00:00:00,20230912,12,9,September,3,2023,Tuesday
2023-09-13 00:00:00,20230913,13,9,September,3,2023,Wednesday
2023-09-14 00:00:00,20230914,14,9,September,3,2023,Thursday
2023-09-15 00:00:00,20230915,15,9,September,3,2023,Friday
2023-09-16 00:00:00,20230916,16,9,September,3,2023,Saturday
2023-09-17 00:00:00,20230917,17,9,September,3,2023,Sunday
2023-09-18 00:00:00,20230918,18,9,September,3,2023,Monday
2023-09-20 00:00:00,20230920,20,9,September,3,2023,Wednesday
2023-09-21 00:00:00,20230921,21,9,September,3,2023,Thursday
2023-09-22 00:00:00,20230922,22,9,September,3,2023,Friday
2023-09-23 00:00:00,20230923,23,9,September,3,2023,Saturday
2023-09-24 00:00:00,20230924,24,9,September,3,2023,Sunday
2023-09-25 00:00:00,20230925,25,9,September,3,2023,Monday
2023-09-26 00:00:00,20230926,26,9,September,3,2023,Tuesday
2023-09-27 00:00:00,20230927,27,9,September,3,2023,Wednesday
2023-09-28 00:00:00,20230928,28,9,September,3,2023,Thursday
2023-09-29 00:00:00,20230929,29,9,September,3,2023,Friday
2023-09-30 00:00:00,20230930,30,9,September,3,2023,Saturday
2023-10-01 00:00:00,20231001,1,10,October,4,2023,Sunday
2023-10-02 00:00:00,20231002,2,10,October,4,2023,Monday
2023-10-03 00:00:00,20231003,3,10,October,4,2023,Tuesday
2023-10-05 00:00:00,20231005,5,10,October,4,2023,Thursday
2023-10-06 00:00:00,20231006,6,10,October,4,2023,Friday
2023-10-07 00:00:00,20231007,7,10,October,4,2023,Saturday
2023-10-08 00:00:00,20231008,8,10,October,4,2023,Sunday
2023-10-09 00:00:00,20231009,9,10,October,4,2023,Monday
2023-10-10 00:00:00,20231010,10,10,October,4,2023,Tuesday
2023-10-11 00:00:00,20231011,11,10,October,4,2023,Wednesday
2023-10-12 00:00:00,20231012,12,10,October,4,2023,Thursday
2023-10-13 00:00:00,20231013,13,10,October,4,2023,Friday
2023-10-14 00:00:00,20231014,14,10,October,4,2023,Saturday
2023-10-15 00:00:00,20231015,15,10,October,4,2023,Sunday
2023-10-17 00:00:00,20231017,17,10,October,4,2023,Tuesday
2023-10-18 00:00:00,20231018,18,10,October,4,2023,Wednesday
2023-10-19 00:00:00,20231019,19,10,October,4,2023,Thursday
2023-10-20 00:00:00,20231020,20,10,October,4,2023,Friday
2023-10-21 00:00:00,20231021,21,10,October,4,2023,Saturday
2023-10-23 00:00:00,20231023,23,10,October,4,2023,Monday
2023-10-24 00:00:00,20231024,24,10,October,4,2023,Tuesday
2023-10-25 00:00:00,20231025,25,10,October,4,2023,Wednesday
2023-10-27 00:00:00,20231027,27,10,October,4,2023,Friday
2023-10-28 00:00:00,20231028,28,10,October,4,2023,Saturday
2023-10-29 00:00:00,20231029,29,10,October,4,2023,Sunday
2023-10-30 00:00:00,20231030,30,10,October,4,2023,Monday
2023-10-31 00:00:00,20231031,31,10,October,4,2023,Tuesday
2023-11-01 00:00:00,20231101,1,11,November,4,2023,Wednesday
2023-11-02 00:00:00,20231102,2,11,November,4,2023,Thursday
2023-11-03 00:00:00,20231103,3,11,November,4,2023,Friday
2023-11-04 00:00:00,20231104,4,11,November,4,2023,Saturday
2023-11-05 00:00:00,20231105,5,11,November,4,2023,Sunday
2023-11-06 00:00:00,20231106,6,11,November,4,2023,Monday
2023-11-07 00:00:00,20231107,7,11,November,4,2023,Tuesday
2023-11-08 00:00:00,20231108,8,11,November,4,2023,Wednesday
2023-11-09 00:00:00,20231109,9,11,November,4,2023,Thursday
2023-11-10 00:00:00,20231110,10,11,November,4,2023,Friday
2023-11-11 00:00:00,20231111,11,11,November,4,2023,Saturday
2023-11-12 00:00:00,20231112,12,11,November,4,2023,Sunday
2023-11-13 00:00:00,20231113,13,11,November,4,2023,Monday
2023-11-14 00:00:00,20231114,14,11,November,4,2023,Tuesday
2023-11-15 00:00:00,20231115,15,11,November,4,2023,Wednesday
2023-11-16 00:00:00,20231116,16,11,November,4,2023,Thursday
2023-11-17 00:00:00,20231117,17,11,November,4,2023,Friday
2023-11-18 00:00:00,20231118,18,11,November,4,2023,Saturday
2023-11-19 00:00:00,20231119,19,11,November,4,2023,Sunday
2023-11-20 00:00:00,20231120,20,11,November,4,2023,Monday
2023-11-21 00:00:00,20231121,21,11,November,4,2023,Tuesday
2023-11-22 00:00:00,20231122,22,11,November,4,2023,Wednesday
2023-11-23 00:00:00,20231123,23,11,November,4,2023,Thursday
2023-11-24 00:00:00,20231124,24,11,November,4,2023,Friday
2023-11-25 00:00:00,20231125,25,11,November,4,2023,Saturday
2023-11-26 00:00:00,20231126,26,11,November,4,2023,Sunday
2023-11-27 00:00:00,20231127,27,11,November,4,2023,Monday
2023-11-28 00:00:00,20231128,28,11,November,4,2023,Tuesday
2023-11-29 00:00:00,20231129,29,11,November,4,2023,Wednesday
2023-11-30 00:00:00,20231130,30,11,November,4,2023,Thursday
2023-12-01 00:00:00,20231201,1,12,December,4,2023,Friday
2023-12-02 00:00:00,20231202,2,12,December,4,2023,Saturday
2023-12-03 00:00:00,20231203,3,12,December,4,2023,Sunday
2023-12-04 00:00:00,20231204,4,12,December,4,2023,Monday
2023-12-05 00:00:00,20231205,5,12,December,4,2023,Tuesday
2023-12-06 00:00:00,20231206,6,12,December,4,2023,Wednesday
2023-12-07 00:00:00,20231207,7,12,December,4,2023,Thursday
2023-12-08 00:00:00,20231208,8,12,December,4,2023,Friday
2023-12-09 00:00:00,20231209,9,12,December,4,2023,Saturday
2023-12-10 00:00:00,20231210,10,12,December,4,2023,Sunday
2023-12-11 00:00:00,20231211,11,12,December,4,2023,Monday
2023-12-12 00:00:00,20231212,12,12,December,4,2023,Tuesday
2023-12-13 00:00:00,20231213,13,12,December,4,2023,Wednesday
2023-12-14 00:00:00,20231214,14,12,December,4,2023,Thursday
2023-12-15 00:00:00,20231215,15,12,December,4,2023,Friday
2023-12-16 00:00:00,20231216,16,12,December,4,2023,Saturday
2023-12-17 00:00:00,20231217,17,12,December,4,2023,Sunday
2023-12-18 00:00:00,20231218,18,12,December,4,2023,Monday
2023-12-19 00:00:00,20231219,19,12,December,4,2023,Tuesday
2023-12-20 00:00:00,20231220,20,12,December,4,2023,Wednesday
2023-12-21 00:00:00,20231221,21,12,December,4,2023,Thursday
2023-12-22 00:00:00,20231222,22,12,December,4,2023,Friday
2023-12-23 00:00:00,20231223,23,12,December,4,2023,Saturday
2023-12-24 00:00:00,20231224,24,12,December,4,2023,Sunday
2023-12-25 00:00:00,20231225,25,12,December,4,2023,Monday
2023-12-26 00:00:00,20231226,26,12,December,4,2023,Tuesday
2023-12-27 00:00:00,20231227,27,12,December,4,2023,Wednesday
2023-12-28 00:00:00,20231228,28,12,December,4,2023,Thursday
2023-12-29 00:00:00,20231229,29,12,December,4,2023,Friday
2023-12-30 00:00:00,20231230,30,12,December,4,2023,Saturday
2023-12-31 00:00:00,20231231,31,12,December,4,2023,Sunday
2024-01-01 00:00:00,20240101,1,1,January,1,2024,Monday
2024-01-02 00:00:00,20240102,2,1,January,1,2024,Tuesday
2024-01-03 00:00:00,20240103,3,1,January,1,2024,Wednesday
2024-01-04 00:00:00,20240104,4,1,January,1,2024,Thursday
2024-01-05 00:00:00,20240105,5,1,January,1,2024,Friday
2024-01-06 00:00:00,20240106,6,1,January,1,2024,Saturday
2024-01-07 00:00:00,20240107,7,1,January,1,2024,Sunday
2024-01-08 00:00:00,20240108,8,1,January,1,2024,Monday
2024-01-10 00:00:00,20240110,10,1,January,1,2024,Wednesday
2024-01-11 00:00:00,20240111,11,1,January,1,2024,Thursday
2024-01-12 00:00:00,20240112,12,1,January,1,2024,Friday
2024-01-13 00:00:00,20240113,13,1,January,1,2024,Saturday
2024-01-14 00:00:00,20240114,14,1,January,1,2024,Sunday
2024-01-15 00:00:00,20240115,15,1,January,1,2024,Monday
2024-01-17 00:00:00,20240117,17,1,January,1,2024,Wednesday
2024-01-18 00:00:00,20240118,18,1,January,1,2024,Thursday
2024-01-20 00:00:00,20240120,20,1,January,1,2024,Saturday
2024-01-21 00:00:00,20240121,21,1,January,1,2024,Sunday
2024-01-22 00:00:00,20240122,22,1,January,1,2024,Monday
2024-01-23 00:00:00,20240123,23,1,January,1,2024,Tuesday
2024-01-24 00:00:00,20240124,24,1,January,1,2024,Wednesday
2024-01-25 00:00:00,20240125,25,1,January,1,2024,Thursday
2024-01-26 00:00:00,20240126,26,1,January,1,2024,Friday
2024-01-27 00:00:00,20240127,27,1,January,1,2024,Saturday
2024-01-28 00:00:00,20240128,28,1,January,1,2024,Sunday
2024-01-30 00:00:00,20240130,30,1,January,1,2024,Tuesday
2024-01-31 00:00:00,20240131,31,1,January,1,2024,Wednesday
2024-02-01 00:00:00,20240201,1,2,February,1,2024,Thursday
2024-02-02 00:00:00,20240202,2,2,February,1,2024,Friday
2024-02-03 00:00:00,20240203,3,2,February,1,2024,Saturday
2024-02-04 00:00:00,20240204,4,2,February,1,2024,Sunday
2024-02-05 00:00:00,20240205,5,2,February,1,2024,Monday
2024-02-06 00:00:00,20240206,6,2,February,1,2024,Tuesday
2024-02-07 00:00:00,20240207,7,2,February,1,2024,Wednesday
2024-02-08 00:00:00,20240208,8,2,February,1,2024,Thursday
2024-02-10 00:00:00,20240210,10,2,February,1,2024,Saturday
2024-02-11 00:00:00,20240211,11,2,February,1,2024,Sunday
2024-02-12 00:00:00,20240212,12,2,February,1,2024,Monday
2024-02-13 00:00:00,20240213,13,2,February,1,2024,Tuesday
2024-02-14 00:00:00,20240214,14,2,February,1,2024,Wednesday
2024-02-15 00:00:00,20240215,15,2,February,1,2024,Thursday
2024-02-16 00:00:00,20240216,16,2,February,1,2024,Friday
2024-02-17 00:00:00,20240217,17,2,February,1,2024,Saturday
2024-02-19 00:00:00,20240219,19,2,February,1,2024,Monday
2024-02-20 00:00:00,20240220,20,2,February,1,2024,Tuesday
2024-02-21 00:00:00,20240221,21,2,February,1,2024,Wednesday
2024-02-22 00:00:00,20240222,22,2,February,1,2024,Thursday
2024-02-23 00:00:00,20240223,23,2,February,1,2024,Friday
2024-02-24 00:00:00,20240224,24,2,February,1,2024,Saturday
2024-02-25 00:00:00,20240225,25,2,February,1,2024,Sunday
2024-02-26 00:00:00,20240226,26,2,February,1,2024,Monday
2024-02-27 00:00:00,20240227,27,2,February,1,2024,Tuesday
2024-02-29 00:00:00,20240229,29,2,February,1,2024,Thursday
2024-03-01 00:00:00,20240301,1,3,March,1,2024,Friday
2024-03-02 00:00:00,20240302,2,3,March,1,2024,Saturday
2024-03-03 00:00:00,20240303,3,3,March,1,2024,Sunday
2024-03-04 00:00:00,20240304,4,3,March,1,2024,Monday
2024-03-05 00:00:00,20240305,5,3,March,1,2024,Tuesday
2024-03-06 00:00:00,20240306,6,3,March,1,2024,Wednesday
2024-03-07 00:00:00,20240307,7,3,March,1,2024,Thursday
2024-03-08 00:00:00,20240308,8,3,March,1,2024,Friday
2024-03-09 00:00:00,20240309,9,3,March,1,2024,Saturday
2024-03-10 00:00:00,20240310,10,3,March,1,2024,Sunday
2024-03-11 00:00:00,20240311,11,3,March,1,2024,Monday
2024-03-12 00:00:00,20240312,12,3,March,1,2024,Tuesday
2024-03-13 00:00:00,20240313,13,3,March,1,2024,Wednesday
2024-03-14 00:00:00,20240314,14,3,March,1,2024,Thursday
2024-03-15 00:00:00,20240315,15,3,March,1,2024,Friday
2024-03-16 00:00:00,20240316,16,3,March,1,2024,Saturday
2024-03-17 00:00:00,20240317,17,3,March,1,2024,Sunday
2024-03-18 00:00:00,20240318,18,3,March,1,2024,Monday
2024-03-19 00:00:00,20240319,19,3,March,1,2024,Tuesday
2024-03-20 00:00:00,20240320,20,3,March,1,2024,Wednesday
2024-03-21 00:00:00,20240321,21,3,March,1,2024,Thursday
2024-03-22 00:00:00,20240322,22,3,March,1,2024,Friday
2024-03-23 00:00:00,20240323,23,3,March,1,2024,Saturday
2024-03-24 00:00:00,20240324,24,3,March,1,2024,Sunday
2024-03-25 00:00:00,20240325,25,3,March,1,2024,Monday
2024-03-26 00:00:00,20240326,26,3,March,1,2024,Tuesday
2024-03-27 00:00:00,20240327,27,3,March,1,2024,Wednesday
2024-03-28 00:00:00,20240328,28,3,March,1,2024,Thursday
2024-03-29 00:00:00,20240329,29,3,March,1,2024,Friday
2024-03-30 00:00:00,20240330,30,3,March,1,2024,Saturday
2024-03-31 00:00:00,20240331,31,3,March,1,2024,Sunday
2024-04-01 00:00:00,20240401,1,4,April,2,2024,Monday
2024-04-02 00:00:00,20240402,2,4,April,2,2024,Tuesday
2024-04-03 00:00:00,20240403,3,4,April,2,2024,Wednesday
2024-04-04 00:00:00,20240404,4,4,April,2,2024,Thursday
2024-04-05 00:00:00,20240405,5,4,April,2,2024,Friday
2024-04-06 00:00:00,20240406,6,4,April,2,2024,Saturday
2024-04-07 00:00:00,20240407,7,4,April,2,2024,Sunday
2024-04-08 00:00:00,20240408,8,4,April,2,2024,Monday
2024-04-09 00:00:00,20240409,9,4,April,2,2024,Tuesday
2024-04-10 00:00:00,20240410,10,4,April,2,2024,Wednesday
2024-04-11 00:00:00,20240411,11,4,April,2,2024,Thursday
2024-04-12 00:00:00,20240412,12,4,April,2,2024,Friday
2024-04-13 00:00:00,20240413,13,4,April,2,2024,Saturday
2024-04-14 00:00:00,20240414,14,4,April,2,2024,Sunday
2024-04-15 00:00:00,20240415,15,4,April,2,2024,Monday
2024-04-16 00:00:00,20240416,16,4,April,2,2024,Tuesday
2024-04-17 00:00:00,20240417,17,4,April,2,2024,Wednesday
2024-04-18 00:00:00,20240418,18,4,April,2,2024,Thursday
2024-04-19 00:00:00,20240419,19,4,April,2,2024,Friday
2024-04-20 00:00:00,20240420,20,4,April,2,2024,Saturday
2024-04-21 00:00:00,20240421,21,4,April,2,2024,Sunday
2024-04-22 00:00:00,20240422,22,4,April,2,2024,Monday
2024-04-23 00:00:00,20240423,23,4,April,2,2024,Tuesday
2024-04-24 00:00:00,20240424,24,4,April,2,2024,Wednesday
2024-04-25 00:00:00,20240425,25,4,April,2,2024,Thursday
2024-04-26 00:00:00,20240426,26,4,April,2,2024,Friday
2024-04-27 00:00:00,20240427,27,4,April,2,2024,Saturday
2024-04-28 00:00:00,20240428,28,4,April,2,2024,Sunday
2024-04-29 00:00:00,20240429,29,4,April,2,2024,Monday
2024-05-01 00:00:00,20240501,1,5,May,2,2024,Wednesday
2024-05-02 00:00:00,20240502,2,5,May,2,2024,Thursday
2024-05-03 00:00:00,20240503,3,5,May,2,2024,Friday
2024-05-04 00:00:00,20240504,4,5,May,2,2024,Saturday
2024-05-05 00:00:00,20240505,5,5,May,2,2024,Sunday
2024-05-06 00:00:00,20240506,6,5,May,2,2024,Monday
2024-05-07 00:00:00,20240507,7,5,May,2,2024,Tuesday
2024-05-08 00:00:00,20240508,8,5,May,2,2024,Wednesday
2024-05-09 00:00:00,20240509,9,5,May,2,2024,Thursday
2024-05-10 00:00:00,20240510,10,5,May,2,2024,Friday
2024-05-11 00:00:00,20240511,11,5,May,2,2024,Saturday
2024-05-12 00:00:00,20240512,12,5,May,2,2024,Sunday
2024-05-13 00:00:00,20240513,13,5,May,2,2024,Monday
2024-05-14 00:00:00,20240514,14,5,May,2,2024,Tuesday
2024-05-15 00:00:00,20240515,15,5,May,2,2024,Wednesday
2024-05-16 00:00:00,20240516,16,5,May,2,2024,Thursday
2024-05-17 00:00:00,20240517,17,5,May,2,2024,Friday
2024-05-18 00:00:00,20240518,18,5,May,2,2024,Saturday
2024-05-19 00:00:00,20240519,19,5,May,2,2024,Sunday
2024-05-20 00:00:00,20240520,20,5,May,2,2024,Monday
2024-05-21 00:00:00,20240521,21,5,May,2,2024,Tuesday
2024-05-22 00:00:00,20240522,22,5,May,2,2024,Wednesday
2024-05-23 00:00:00,20240523,23,5,May,2,2024,Thursday
2024-05-24 00:00:00,20240524,24,5,May,2,2024,Friday
2024-05-25 00:00:00,20240525,25,5,May,2,2024,Saturday
2024-05-26 00:00:00,20240526,26,5,May,2,2024,Sunday
2024-05-27 00:00:00,20240527,27,5,May,2,2024,Monday
2024-05-28 00:00:00,20240528,28,5,May,2,2024,Tuesday
2024-05-29 00:00:00,20240529,29,5,May,2,2024,Wednesday
2024-05-30 00:00:00,20240530,30,5,May,2,2024,Thursday
2024-05-31 00:00:00,20240531,31,5,May,2,2024,Friday
2024-06-01 00:00:00,20240601,1,6,June,2,2024,Saturday
2024-06-02 00:00:00,20240602,2,6,June,2,2024,Sunday
2024-06-03 00:00:00,20240603,3,6,June,2,2024,Monday
2024-06-04 00:00:00,20240604,4,6,June,2,2024,Tuesday
2024-06-05 00:00:00,20240605,5,6,June,2,2024,Wednesday
2024-06-06 00:00:00,20240606,6,6,June,2,2024,Thursday
2024-06-07 00:00:00,20240607,7,6,June,2,2024,Friday
2024-06-08 00:00:00,20240608,8,6,June,2,2024,Saturday
2024-06-10 00:00:00,20240610,10,6,June,2,2024,Monday
2024-06-11 00:00:00,20240611,11,6,June,2,2024,Tuesday
